Vendor Id,Status,Name,Date,UpdateProfile
36065,ACTIVE,کافه جزیره,2023-07-05 16:00:28,
55978,ACTIVE,بامیکا (زعفرانیه),2023-07-28 10:15:03,
258239,ACTIVE,سوشی آی,2023-07-28 18:45:10,
20099,ACTIVE,قنادی اصل تبریز (درختی),2023-07-28 22:15:02,
61989,ACTIVE,رستوران ارکیده (سعادت آباد),2023-07-29 17:15:11,
72606,ACTIVE,سالاد میلسانو (شهرک غرب),2023-07-29 21:30:22,
94421,ACTIVE,کباب سرا مهدی,2023-07-30 11:15:12,
289228,ACTIVE,فست فود چیکولند (فودکورت رویال),2023-07-30 12:45:41,
69629,ACTIVE,رستوران نیایش,2023-07-30 15:15:17,
48497,ACTIVE,شیرینی سولدوش (پاسداران),2023-07-30 20:30:11,
51873,ACTIVE,آش و حلیم سید (شهرک غرب),2023-07-30 23:15:49,
97488,ACTIVE,آش حلیم سعید (میدان کاج),2023-07-30 23:15:49,
263263,ACTIVE,آش و حلیم سید محمد (سعادت آباد),2023-07-30 23:15:49,
265223,ACTIVE,آش و حلیم سید (سعادت آباد),2023-07-30 23:15:49,
66363,ACTIVE,رستوران مزعفر (شریعتی),2023-07-31 10:15:06,
98593,ACTIVE,رستوران مزعفر (فاطمی),2023-07-31 10:15:06,
270549,ACTIVE,رستوران مزعفر (اندرزگو),2023-07-31 10:15:06,
245550,ACTIVE,هایدا (شمس آباد),2023-07-31 11:15:15,
308540,ACTIVE,کترینگ شاهان (سهروردی),2023-07-31 12:15:21,
9429,ACTIVE,رستوران هانی (یافت آباد),2023-07-31 12:45:02,
42386,ACTIVE,شیرینی بوفه کانتینر (سعادت آباد),2023-07-31 15:15:08,
78933,ACTIVE,هایپر شیرینی علامه,2023-07-31 15:15:17,
237892,ACTIVE,تهیه غذای آریایی,2023-07-31 17:45:20,
15702,ACTIVE,رستوران ریواس,2023-07-31 19:15:03,
300410,ACTIVE,گل فلوآرت,2023-07-31 19:15:38,
34339,ACTIVE,رستوران امانیه,2023-07-31 20:45:07,
29298,ACTIVE,ژ 1 (ژوان),2023-08-01 8:15:03,
242402,ACTIVE,رستوران شاطر عباس (شعبه سعدی),2023-08-01 11:45:17,
299938,ACTIVE,کافه رستوران خردل,2023-08-01 12:30:47,
318729,ACTIVE,فست فود دمدیکه,2023-08-01 17:45:37,
309294,ACTIVE,کافه رستوران لاویسان,2023-08-01 18:00:35,
312279,ACTIVE,غذای ایرانی مستر,2023-08-01 18:15:37,
256417,ACTIVE,کباب بناب آیلار آذربایجان,2023-08-01 19:15:27,
307619,ACTIVE,کافه رستوران ایستگاه,2023-08-02 8:45:09,
291291,ACTIVE,هایپر میوه فردوس (نبش عقیل),2023-08-02 9:15:13,
291360,ACTIVE,آجیل و خشکبار طلاچینان,2023-08-02 9:15:13,
31067,ACTIVE,مامان جون (شریعتی),2023-08-02 11:15:04,
92418,ACTIVE,آبمیوه بستنی شانلی,2023-08-02 11:30:10,
230451,ACTIVE,فست فود امیر کارو,2023-08-02 11:45:17,
292565,ACTIVE,رستوران پدیده فارسی,2023-08-02 12:15:41,
95622,ACTIVE,دنده کباب طاق بستان,2023-08-02 16:45:16,
309306,ACTIVE,کبابسرای ملی,2023-08-02 19:45:44,
216831,ACTIVE,امیرشکلات (ستارخان),2023-08-03 9:00:05,
57981,ACTIVE,آبمیوه بستنی دایی حسین,2023-08-03 11:15:07,
23563,ACTIVE,آرامیس (آرامش),2023-08-03 12:00:04,
312038,ACTIVE,کافه رستوران‌ ژیانو,2023-08-03 12:15:49,
288924,ACTIVE,رستوران ریحون,2023-08-03 12:30:39,
294702,ACTIVE,کافه ویونا (تهرانپارس),2023-08-03 12:30:41,
276545,ACTIVE,گیلاوا (محصولات محلی گیلان),2023-08-03 14:15:34,
268116,ACTIVE,رستوران یوکا,2023-08-03 14:30:35,
315571,ACTIVE,فست فود کوکو وگن,2023-08-03 14:30:51,
62805,ACTIVE,شیرینی الهیه 33 (شعبه فرشته),2023-08-03 16:15:13,
44950,ACTIVE,کافه کلاسیک,2023-08-03 17:15:07,
33931,ACTIVE,پیتزا دارت شعبه نواب,2023-08-03 19:45:06,
14673,ACTIVE,تهیه غذای گل یاس,2023-08-03 21:45:14,
110756,ACTIVE,آش و حلیم آشچی,2023-08-03 23:00:14,
318597,ACTIVE,کافه قهوه هگزا,2023-08-04 9:15:13,
88582,ACTIVE,پروتئین اکباتان,2023-08-04 10:00:05,
296681,ACTIVE,بستنی شاد (شعبه پیروزی),2023-08-04 11:15:21,
82726,ACTIVE,رستوران خوان,2023-08-04 11:45:12,
298578,ACTIVE,فست فود چیکیلی (تنورک),2023-08-04 12:15:54,
70667,ACTIVE,کبابخانه درباری,2023-08-04 15:30:17,
287767,ACTIVE,آبمیوه بستنی لوئین جلاتو,2023-08-04 23:15:17,
51367,ACTIVE,قنادی ناتلی (سهروردی جنوبی),2023-08-05 7:45:03,
55244,ACTIVE,نان سحر (نمایندگی گیشا),2023-08-05 7:45:03,
295959,ACTIVE,کافه رستوران دالمن,2023-08-05 8:15:08,
259892,ACTIVE,رستوران اس ام,2023-08-05 10:15:10,
321335,ACTIVE,آرایشی بهداشتی ارکید طلایی,2023-08-05 10:15:16,
292914,ACTIVE,شیرینی نون خامه ای (اندرزگو),2023-08-05 10:30:12,
248233,ACTIVE,شیرینی نیشکر (نارمک),2023-08-05 11:15:14,
257305,ACTIVE,آبمیوه بستنی سانیار,2023-08-05 13:30:29,
80103,ACTIVE,کافه آربی برگر,2023-08-05 14:30:13,
61553,ACTIVE,نانوایی سنگکی سنتی خواجه نصیر,2023-08-05 15:15:13,
272620,ACTIVE,رستوران نگین شهر,2023-08-05 15:30:32,
9654,ACTIVE,فست فود پاییز (دولت آباد),2023-08-05 18:15:03,
266812,ACTIVE,کلاس برگر,2023-08-05 19:45:32,
247028,ACTIVE,تهیه غذای مهدی,2023-08-05 21:15:26,
247281,ACTIVE,فست فود فریلند,2023-08-05 22:30:03,
77653,ACTIVE,فروشگاه شیرینی بیلو,2023-08-06 10:15:07,
30284,ACTIVE,آسیانا,2023-08-06 11:45:06,
291109,ACTIVE,رستوران جیگرط,2023-08-06 11:45:26,
59873,ACTIVE,کباب ساطوری بابا میرزا,2023-08-06 12:15:15,
320066,ACTIVE,فست فود نارون,2023-08-06 12:15:55,
291884,ACTIVE,کترینگ لاوان,2023-08-06 12:30:46,
111011,ACTIVE,تهیه غذای تیان,2023-08-06 12:45:25,
235263,ACTIVE,فست فود جینو,2023-08-06 14:45:25,
317265,ACTIVE,رستوران جینو,2023-08-06 14:45:25,
274242,ACTIVE,کترینگ خوان پسند,2023-08-06 14:45:33,
313861,ACTIVE,فست فود کتش فود,2023-08-06 15:45:43,
18818,ACTIVE,غذای ایرانی دریا (بیرون بر),2023-08-06 22:30:13,
56759,ACTIVE,مارکیز برگر (آربی برگر سابق),2023-08-06 22:30:33,
81083,ACTIVE,آش و حلیم کندو,2023-08-06 22:30:46,
93450,ACTIVE,رستوران روکالانژ,2023-08-06 22:30:48,
241999,ACTIVE,باریزو (شعبه مگامال),2023-08-06 22:30:57,
262450,ACTIVE,کافه رستوران استودیو,2023-08-06 22:30:57,
284391,ACTIVE,کافه وی ای پی,2023-08-06 22:30:57,
297157,ACTIVE,بریانکده برشته طلایی,2023-08-06 22:31:15,
14703,ACTIVE,رستوران مزه (توانیر),2023-08-06 22:45:03,
50819,ACTIVE,غذای خانگی ترنج (نارمک),2023-08-06 23:00:08,
236186,ACTIVE,لبنیات کارون,2023-08-07 7:45:05,
26633,ACTIVE,شیرینی فروشی اکلر (نیاوران),2023-08-07 9:45:02,
44870,ACTIVE,باقلوا استانبولی باکلاواچی (یوسف آباد),2023-08-07 10:15:04,
303292,ACTIVE,شیرینی و خشکبار اصل تبریز,2023-08-07 10:15:15,
9291,ACTIVE,فست فود تاپ استیک,2023-08-07 11:15:03,
17669,ACTIVE,فست فود سروژ,2023-08-07 11:15:03,
10274,ACTIVE,تهیه غذای طوس,2023-08-07 12:00:05,
42564,ACTIVE,ترک دنر (مطهری),2023-08-07 12:00:10,
60563,ACTIVE,کترینگ فاخته,2023-08-07 12:00:14,
21140,ACTIVE,فست فود زیمافود,2023-08-07 12:15:05,
45860,ACTIVE,رستوران پروفسور,2023-08-07 12:15:11,
313125,ACTIVE,فست فود گیاهی (های وگن),2023-08-07 12:15:12,
275525,ACTIVE,فست فود پکس,2023-08-07 12:15:43,
287639,ACTIVE,سیتی کنتاکی (فودکورت نیایش مال),2023-08-07 12:15:48,
318458,ACTIVE,تهیه‌ غذای‌ زیتون,2023-08-07 12:16:02,
279183,ACTIVE,دل کوک (تهرانپارس),2023-08-07 12:30:51,
56175,ACTIVE,پروتئین امیر (جردن),2023-08-07 12:45:15,
51911,ACTIVE,پیتزا قائم,2023-08-07 17:45:08,
310963,ACTIVE,فست فود ویژه زاپاتا (سهروردی),2023-08-07 18:00:35,
310018,ACTIVE,کباب ترکی علی بابا,2023-08-07 18:30:36,
46362,ACTIVE,فست فود ترنج (جمالزاده),2023-08-07 18:45:08,
246251,ACTIVE,کباب زعفرانی حاج علی,2023-08-07 18:45:22,
276189,ACTIVE,جی‌ کافه (بهشتی),2023-08-07 18:45:28,
34489,ACTIVE,کترینگ بیست,2023-08-07 19:00:08,
48501,ACTIVE,رستوران مون چری,2023-08-07 19:15:09,
50293,ACTIVE,تهیه غذای آریاپخت (صاحب الزمان),2023-08-07 19:15:10,
86655,ACTIVE,پیتزا طاها,2023-08-07 19:15:18,
77821,ACTIVE,آجیل و خشکبار دآستان (پالادیوم),2023-08-07 19:30:17,
19476,ACTIVE,کترینگ پارسی (جنت آباد),2023-08-07 19:45:05,
52387,ACTIVE,کباب سرای شیرازی نارون,2023-08-07 19:45:42,
33149,ACTIVE,کترینگ طالقانی,2023-08-07 20:00:11,
69151,ACTIVE,کترینگ محسن,2023-08-07 20:00:21,
248991,ACTIVE,کافه رستوران لگنو,2023-08-07 23:00:17,
71315,ACTIVE,طباخی افق,2023-08-08 7:45:04,
318057,ACTIVE,کافه سمفونی,2023-08-08 8:15:10,
303641,ACTIVE,پروتئین جم,2023-08-08 10:15:15,
17795,ACTIVE,فرش باکس (شریعتی),2023-08-08 10:45:02,
62807,ACTIVE,شیرینی الهیه 33 (شعبه نیاوران),2023-08-08 11:00:06,
26750,ACTIVE,کباب کده دنج,2023-08-08 11:45:04,
275434,ACTIVE,مجموعه غذایی ریتون,2023-08-08 11:45:21,
10546,ACTIVE,رستوران فرزانه بناب,2023-08-08 12:15:03,
29521,ACTIVE,کاتسو,2023-08-08 12:15:06,
64675,ACTIVE,فست فود وارلی,2023-08-08 12:15:15,
288954,ACTIVE,فست فود بولداگ,2023-08-08 12:15:40,
317082,ACTIVE,کافه ال دا,2023-08-08 12:15:51,
28100,ACTIVE,آجیل و خشکبار محسن (پاسداران),2023-08-08 13:30:08,
278921,ACTIVE,کافه زولا (نیایش مال),2023-08-08 14:00:34,
14232,ACTIVE,فست فود سوخاری سوخاری,2023-08-08 14:15:04,
29467,ACTIVE,پیتزا سیب 360 (شریعتی),2023-08-08 15:00:07,
26668,ACTIVE,رستوران هانی (قیام),2023-08-08 15:15:04,
317880,ACTIVE,فست فود یامی,2023-08-08 15:15:45,
58373,ACTIVE,نان سحر (نمایندگی بلوار فردوس),2023-08-08 15:45:14,
59949,ACTIVE,کافه رستوران یاشل,2023-08-08 16:15:11,
63823,ACTIVE,کافه پریسکا,2023-08-08 16:15:14,
63819,ACTIVE,رستوران پریسکا,2023-08-08 16:15:14,
294001,ACTIVE,ساندویچ بار پریسکا,2023-08-08 16:15:14,
233227,ACTIVE,کافه بابل تی فونسا,2023-08-08 16:30:21,
273613,ACTIVE,کاسه کباب فونسا,2023-08-08 16:30:21,
53730,ACTIVE,بستنی میو,2023-08-08 17:00:09,
255336,ACTIVE,راد پروتئین,2023-08-08 17:30:22,
