,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Vendor Id,Status,Name,Date,UpdateProfile,Found_2023-08-22 12,Found_2023-08-22 14,FinalShow,Found_2023-08-22 15
0,0,0,0,36065,ACTIVE,کافه جزیره,7/5/2023 16:00,,,,,
1,1,1,1,55978,ACTIVE,بامیکا (زعفرانیه),7/28/2023 10:15,,,,,
2,2,2,2,258239,ACTIVE,سوشی آی,7/28/2023 18:45,,,,,
3,3,3,3,20099,ACTIVE,قنادی اصل تبریز (درختی),7/28/2023 22:15,,,,,
4,4,4,4,61989,ACTIVE,رستوران ارکیده (سعادت آباد),7/29/2023 17:15,,,,,
5,5,5,5,72606,ACTIVE,سالاد میلسانو (شهرک غرب),7/29/2023 21:30,,,,,
6,6,6,6,94421,ACTIVE,کباب سرا مهدی,7/30/2023 11:15,,,,,
7,7,7,7,289228,ACTIVE,فست فود چیکولند (فودکورت رویال),7/30/2023 12:45,,,,,
8,8,8,8,69629,ACTIVE,رستوران نیایش,7/30/2023 15:15,,,,,
9,9,9,9,48497,ACTIVE,شیرینی سولدوش (پاسداران),7/30/2023 20:30,,,,,
10,10,10,10,51873,ACTIVE,آش و حلیم سید (شهرک غرب),7/30/2023 23:15,,,,,
11,11,11,11,97488,ACTIVE,آش حلیم سعید (میدان کاج),7/30/2023 23:15,,,,,
12,12,12,12,263263,ACTIVE,آش و حلیم سید محمد (سعادت آباد),7/30/2023 23:15,,,,,
13,13,13,13,265223,ACTIVE,آش و حلیم سید (سعادت آباد),7/30/2023 23:15,,,,,
14,14,14,14,66363,ACTIVE,رستوران مزعفر (شریعتی),7/31/2023 10:15,,,,,
15,15,15,15,98593,ACTIVE,رستوران مزعفر (فاطمی),7/31/2023 10:15,,,,,
16,16,16,16,270549,ACTIVE,رستوران مزعفر (اندرزگو),7/31/2023 10:15,,,,,
17,17,17,17,245550,ACTIVE,هایدا (شمس آباد),7/31/2023 11:15,,,,,
18,18,18,18,308540,ACTIVE,کترینگ شاهان (سهروردی),7/31/2023 12:15,,,,,
19,19,19,19,9429,ACTIVE,رستوران هانی (یافت آباد),7/31/2023 12:45,,,,,
20,20,20,20,42386,ACTIVE,شیرینی بوفه کانتینر (سعادت آباد),7/31/2023 15:15,,,,,
21,21,21,21,78933,ACTIVE,هایپر شیرینی علامه,7/31/2023 15:15,,,,,
22,22,22,22,237892,ACTIVE,تهیه غذای آریایی,7/31/2023 17:45,,,,,
23,23,23,23,15702,ACTIVE,رستوران ریواس,7/31/2023 19:15,,,,,
24,24,24,24,300410,ACTIVE,گل فلوآرت,7/31/2023 19:15,,,,,
25,25,25,25,34339,ACTIVE,رستوران امانیه,7/31/2023 20:45,,,,,
26,26,26,26,29298,ACTIVE,ژ 1 (ژوان),8/1/2023 8:15,,,,,
27,27,27,27,242402,ACTIVE,رستوران شاطر عباس (شعبه سعدی),8/1/2023 11:45,,,,,
28,28,28,28,299938,ACTIVE,کافه رستوران خردل,8/1/2023 12:30,,,,,
29,29,29,29,318729,ACTIVE,فست فود دمدیکه,8/1/2023 17:45,,,,,
30,30,30,30,309294,ACTIVE,کافه رستوران لاویسان,8/1/2023 18:00,,,,,
31,31,31,31,312279,ACTIVE,غذای ایرانی مستر,8/1/2023 18:15,,,,,
32,32,32,32,256417,ACTIVE,کباب بناب آیلار آذربایجان,8/1/2023 19:15,,,,,
33,33,33,33,307619,ACTIVE,کافه رستوران ایستگاه,8/2/2023 8:45,,,,,
34,34,34,34,291291,ACTIVE,هایپر میوه فردوس (نبش عقیل),8/2/2023 9:15,,,,,
35,35,35,35,291360,ACTIVE,آجیل و خشکبار طلاچینان,8/2/2023 9:15,,,,,
36,36,36,36,31067,ACTIVE,مامان جون (شریعتی),8/2/2023 11:15,,,,,
37,37,37,37,92418,ACTIVE,آبمیوه بستنی شانلی,8/2/2023 11:30,,,,,
