,Unnamed: 0.1,Unnamed: 0,Vendor Id,Status,Name,Date,UpdateProfile,Found_2023-08-22 12,Found_2023-08-22 15
0,0,0,36065,ACTIVE,کافه جزیره,2023-07-05 16:00:28,,,
1,1,1,55978,ACTIVE,بامیکا (زعفرانیه),2023-07-28 10:15:03,,,
2,2,2,258239,ACTIVE,سوشی آی,2023-07-28 18:45:10,,,
3,3,3,20099,ACTIVE,قنادی اصل تبریز (درختی),2023-07-28 22:15:02,,,
4,4,4,61989,ACTIVE,رستوران ارکیده (سعادت آباد),2023-07-29 17:15:11,,,
5,5,5,72606,ACTIVE,سالاد میلسانو (شهرک غرب),2023-07-29 21:30:22,,,
6,6,6,94421,ACTIVE,کباب سرا مهدی,2023-07-30 11:15:12,,,
7,7,7,289228,ACTIVE,فست فود چیکولند (فودکورت رویال),2023-07-30 12:45:41,,,
8,8,8,69629,ACTIVE,رستوران نیایش,2023-07-30 15:15:17,,,
9,9,9,48497,ACTIVE,شیرینی سولدوش (پاسداران),2023-07-30 20:30:11,,,
10,10,10,51873,ACTIVE,آش و حلیم سید (شهرک غرب),2023-07-30 23:15:49,,,
11,11,11,97488,ACTIVE,آش حلیم سعید (میدان کاج),2023-07-30 23:15:49,,,
12,12,12,263263,ACTIVE,آش و حلیم سید محمد (سعادت آباد),2023-07-30 23:15:49,,,
13,13,13,265223,ACTIVE,آش و حلیم سید (سعادت آباد),2023-07-30 23:15:49,,,
14,14,14,66363,ACTIVE,رستوران مزعفر (شریعتی),2023-07-31 10:15:06,,,
15,15,15,98593,ACTIVE,رستوران مزعفر (فاطمی),2023-07-31 10:15:06,,,
16,16,16,270549,ACTIVE,رستوران مزعفر (اندرزگو),2023-07-31 10:15:06,,,
17,17,17,245550,ACTIVE,هایدا (شمس آباد),2023-07-31 11:15:15,,,
18,18,18,308540,ACTIVE,کترینگ شاهان (سهروردی),2023-07-31 12:15:21,,,
19,19,19,9429,ACTIVE,رستوران هانی (یافت آباد),2023-07-31 12:45:02,,,
20,20,20,42386,ACTIVE,شیرینی بوفه کانتینر (سعادت آباد),2023-07-31 15:15:08,,,
21,21,21,78933,ACTIVE,هایپر شیرینی علامه,2023-07-31 15:15:17,,,
22,22,22,237892,ACTIVE,تهیه غذای آریایی,2023-07-31 17:45:20,,,
23,23,23,15702,ACTIVE,رستوران ریواس,2023-07-31 19:15:03,,,
24,24,24,300410,ACTIVE,گل فلوآرت,2023-07-31 19:15:38,,,
25,25,25,34339,ACTIVE,رستوران امانیه,2023-07-31 20:45:07,,,
26,26,26,29298,ACTIVE,ژ 1 (ژوان),2023-08-01 8:15:03,,,
27,27,27,242402,ACTIVE,رستوران شاطر عباس (شعبه سعدی),2023-08-01 11:45:17,,,
28,28,28,299938,ACTIVE,کافه رستوران خردل,2023-08-01 12:30:47,,,
29,29,29,318729,ACTIVE,فست فود دمدیکه,2023-08-01 17:45:37,,,
30,30,30,309294,ACTIVE,کافه رستوران لاویسان,2023-08-01 18:00:35,,,
31,31,31,312279,ACTIVE,غذای ایرانی مستر,2023-08-01 18:15:37,,,
32,32,32,256417,ACTIVE,کباب بناب آیلار آذربایجان,2023-08-01 19:15:27,,,
33,33,33,307619,ACTIVE,کافه رستوران ایستگاه,2023-08-02 8:45:09,,,
34,34,34,291291,ACTIVE,هایپر میوه فردوس (نبش عقیل),2023-08-02 9:15:13,,,
35,35,35,291360,ACTIVE,آجیل و خشکبار طلاچینان,2023-08-02 9:15:13,,,
36,36,36,31067,ACTIVE,مامان جون (شریعتی),2023-08-02 11:15:04,,,
37,37,37,92418,ACTIVE,آبمیوه بستنی شانلی,2023-08-02 11:30:10,,,
38,38,38,230451,ACTIVE,فست فود امیر کارو,2023-08-02 11:45:17,,,
39,39,39,292565,ACTIVE,رستوران پدیده فارسی,2023-08-02 12:15:41,,,
40,40,40,95622,ACTIVE,دنده کباب طاق بستان,2023-08-02 16:45:16,,,
41,41,41,309306,ACTIVE,کبابسرای ملی,2023-08-02 19:45:44,,,
42,42,42,216831,ACTIVE,امیرشکلات (ستارخان),2023-08-03 9:00:05,,,
43,43,43,57981,ACTIVE,آبمیوه بستنی دایی حسین,2023-08-03 11:15:07,,,
44,44,44,23563,ACTIVE,آرامیس (آرامش),2023-08-03 12:00:04,,,
45,45,45,312038,ACTIVE,کافه رستوران‌ ژیانو,2023-08-03 12:15:49,,,
46,46,46,288924,ACTIVE,رستوران ریحون,2023-08-03 12:30:39,,,
47,47,47,294702,ACTIVE,کافه ویونا (تهرانپارس),2023-08-03 12:30:41,,,
48,48,48,276545,ACTIVE,گیلاوا (محصولات محلی گیلان),2023-08-03 14:15:34,,,
49,49,49,268116,ACTIVE,رستوران یوکا,2023-08-03 14:30:35,,,
50,50,50,315571,ACTIVE,فست فود کوکو وگن,2023-08-03 14:30:51,,,
51,51,51,62805,ACTIVE,شیرینی الهیه 33 (شعبه فرشته),2023-08-03 16:15:13,,,
52,52,52,44950,ACTIVE,کافه کلاسیک,2023-08-03 17:15:07,,,
53,53,53,33931,ACTIVE,پیتزا دارت شعبه نواب,2023-08-03 19:45:06,,,
54,54,54,14673,ACTIVE,تهیه غذای گل یاس,2023-08-03 21:45:14,,,
55,55,55,110756,ACTIVE,آش و حلیم آشچی,2023-08-03 23:00:14,,,
56,56,56,318597,ACTIVE,کافه قهوه هگزا,2023-08-04 9:15:13,,,
57,57,57,88582,ACTIVE,پروتئین اکباتان,2023-08-04 10:00:05,,,
58,58,58,296681,ACTIVE,بستنی شاد (شعبه پیروزی),2023-08-04 11:15:21,,,
59,59,59,82726,ACTIVE,رستوران خوان,2023-08-04 11:45:12,,,
60,60,60,298578,ACTIVE,فست فود چیکیلی (تنورک),2023-08-04 12:15:54,,,
61,61,61,70667,ACTIVE,کبابخانه درباری,2023-08-04 15:30:17,,,
62,62,62,287767,ACTIVE,آبمیوه بستنی لوئین جلاتو,2023-08-04 23:15:17,,,
63,63,63,51367,ACTIVE,قنادی ناتلی (سهروردی جنوبی),2023-08-05 7:45:03,,,
64,64,64,55244,ACTIVE,نان سحر (نمایندگی گیشا),2023-08-05 7:45:03,,,
65,65,65,295959,ACTIVE,کافه رستوران دالمن,2023-08-05 8:15:08,,,
66,66,66,259892,ACTIVE,رستوران اس ام,2023-08-05 10:15:10,,,
67,67,67,321335,ACTIVE,آرایشی بهداشتی ارکید طلایی,2023-08-05 10:15:16,,,
68,68,68,292914,ACTIVE,شیرینی نون خامه ای (اندرزگو),2023-08-05 10:30:12,,,
69,69,69,248233,ACTIVE,شیرینی نیشکر (نارمک),2023-08-05 11:15:14,,,
70,70,70,257305,ACTIVE,آبمیوه بستنی سانیار,2023-08-05 13:30:29,,,
71,71,71,80103,ACTIVE,کافه آربی برگر,2023-08-05 14:30:13,,,
72,72,72,61553,ACTIVE,نانوایی سنگکی سنتی خواجه نصیر,2023-08-05 15:15:13,,,
73,73,73,272620,ACTIVE,رستوران نگین شهر,2023-08-05 15:30:32,,,
74,74,74,9654,ACTIVE,فست فود پاییز (دولت آباد),2023-08-05 18:15:03,,,
75,75,75,266812,ACTIVE,کلاس برگر,2023-08-05 19:45:32,,,
76,76,76,247028,ACTIVE,تهیه غذای مهدی,2023-08-05 21:15:26,,,
77,77,77,247281,ACTIVE,فست فود فریلند,2023-08-05 22:30:03,,,
78,78,78,77653,ACTIVE,فروشگاه شیرینی بیلو,2023-08-06 10:15:07,,,
79,79,79,30284,ACTIVE,آسیانا,2023-08-06 11:45:06,,,
80,80,80,291109,ACTIVE,رستوران جیگرط,2023-08-06 11:45:26,,,
